Company Name, Email, Tel, Fax, Website
Fraunhofer-Institut für Angewandte Poylmerforschung, johannes.ganster@iap.fraunhofer.de, +49(0)331/568-1706, +49(0)331/568 1000, http://www.iap.fraunhofer.de
Fraunhofer-Institut für Bauphysik IBP, NaN, +49 (0) 711/ 970-00, Nan, http://www.ibp.fraunhofer.de
Fraunhofer-Institut für Chemische Technologie ICT, frank.henning@ict.fraunhofer.de, +49 (721) 4640 420, +49 (721) 4640 542, http://www.ict.fraunhofer.de
Fraunhofer-Institut für Holzforschung Wilhelm-Klauditz-Institut WKI, NaN, +49 511 9296 2220, Nan, http://www.wki.fraunhofer.de
Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA, marco.schneider@ipa.fraunhofer.de, +49 (0) 711 970-1535, +49 (0) 711 970-717-1535, http://www.ipa.fraunhofer.de/leichtbautechnologien.html
Fraunhofer-Projektgruppe für Wertstoffkreisläufe, NaN, +49 (0) 6023 32039-801, Nan, http://www.isc.fraunhofer.de
Freudenberg New Technologies KG, kurt.marchetti@freudenberg.de, +49(6201)805123, +49(6201)885123, http://www.freudenberg.com/de/innovation
FRIMO Group GmbH, ruebsam.t@frimo.com, +49(0)5404/886-0, +49(0)5404/886-333, http://www.frimo.com
FRITZMEIER Composite GmbH & Co. KG, s.froemmel@fritzmeier.com, +49 (0) 8062 902 302, +49 (0) 8062 902 119, http://composite.fritzmeier.de/
GFK Forming Kunststoffverarbeitung GmbH, NaN, +49(0)6043 4374, Nan, http://www.gfk-forming.de
Gremolith AG, NaN, NaN, NaN, NaN
Güth & Wolf GmbH, NaN, +49 (0) 5241/879-265, +49 (0) 5241/879-5265, http://www.gueth-wolf.de
Hager Polo Produkcja Sp.zo.o, NaN, +38(44)4649641, +38(44)4649700, NaN
Haus der Technik e.V., NaN, +49(201)18031, +49(201)1803269, NaN
HELM  AG, info@helmag.com, +49(40)2375-1120, +49(40)2375-1845, http://www.helmag.com
Hochschule Karlsruhe für Technik u. Wirtschaft, frank.poehler@hs-karlsruhe.de, +49(721)9251846, +49(721)9251914, http://www.hs-karlsruhe.de
Hochschule Niederrhein, NaN, +49(0)2151 822-0, Nan, NaN
HUESKER Synthetic GmbH, info@HUESKER.de, 02542 / 701 - 0, Nan, http://https://www.huesker.de/
I.T.E.C. GmbH Carboncutting Solutions, NaN, +49(0)2403 50440, +49(0)2403 504444, http://www.drytech.de
ICM-Composites GmbH & Co. KG, NaN, NaN, NaN, https://www.icm-composites.de/
IDI Composites International Europe SAS, sales-europe@idicomposites.com, +33607940593, +33254502761, http://https://www.idicomposites.fr
IfBB - Institut für Biokunststoffe, info@ifbb-hannover.de, +49(0)511 92962268, Nan, http://www.ifbb-hannover.de
IMA Materialforschung und Anwendungstechnik GmbH, jens.ridzewski@ima-dresden.de, +49(351)8837-0, +49(351)8804313, http://www.ima-dresden.de
INEOS Styrolution Group GmbH, ralf.leinemann@styrolution.com, +49 (0) 69509550 1366, Nan, http://www.ineos-styrolution.com
Ing. Erich Geiss GmbH & Co. KG, info@erichgeiss.de, +49()016099858218, +49()0180506033474519, http://www.erichgeiss.de
Ingenieurbüro für Kunststofftechnik, NaN, +49(40)827601, +49(40)820655, NaN
Ingenieurdienstleistungen Carina Heinze, info@ingenieur-carina-heinze.d, +49 (0)175 1547606, Nan, http://ingenieur-carina-heinze.de/
Institut für Kunststofftechnik, NaN, +49 (0) 711 685-62801, Nan, http://www.ikt.uni-stuttgart.de
Institut für Kunststoffverarbeitung (IKV), zentrale@ikv.rwth-aachen.de, +49 (0) 241 80-93806, +49 (0) 241 80-92262, http://www.ikv-aachen.de
Institut für Polymerwerkstoffe und Kunststofftechnik, ziegmann@puk.tu-clausthal.de, +49(5323)722090, +49(5323)722324, http://www.puk.tu-clausthal.de/
Institut für Textil- und, markus.milwich@itv-denkendorf.de, +49(0)711 9340164, Nan, http://www.itv-denkendorf.de
Institut für Textiltechnik (ITA), NaN, +49 (0) 241/80 234 00, +49 (0) 241/80 224 22, http://www.ita.rwth-aachen.de
Institut für Verbundwerkstoffe IVW, info@ivw.uni-kl.de, +49(631)2017101, +49(631)2017199, http://www.ivw.uni-kl.de
Isovolta Vertriebs GmbH , NaN, +49 (0) 9431 / 635 120, Nan, http://www.isovolta.de/
IVK-Interessensgruppe verstärkte Kunststoffe, renate.reumueller@unileoben.ac.at, +43 (0) 3842/402-8405, Nan, NaN
JOHANN BORGERS GMBH u. CO.KG, NaN, +49(2871)345-0, +49(0)2871/345-39, http://www.borgers-group.com
JOHNS MANVILLE, fibers@jm.com, +421(33)5918840, Nan, http://www.jm.com
Kegelmann Technik GmbH, info@ktechnik.de, +49 (0)6106 8507-0, +49 (0)6106 8507-55, http://www.ktechnik.de
Krauss-Maffei, NaN, NaN, NaN, NaN
KS Kolbenschmidt GmbH, NaN, NaN, NaN, NaN
Kunststoff Information, info@kiweb.de, +49(6172)960611, +49(6172)960699, http://www.kiweb.de
Kunststoff-Institut für die mittelständische Wirtschaft NRW GmbH, mail@kunststoff-institut.de, +49 (0) 2351 - 1064 191, + 49 (0) 2351 - 1064 190, http://www.kunststoff-institut.de
Kunststoffe & Umwelt, NaN, +49 (0) 6071/ 921185, Nan, NaN
Kunststoffverarbeitung Reich GmbH, NaN, +49(8196)930314, +49(8196)1331, http://www.reich-tank.de
Kurotec-KTS Kunststofftechnik Stade GmbH, info@kurotec-kts.de, +49(0)4141 9995-0, +49(0)4141 999555, http://www.kurotec-kts.de
Kässbohrer Composites GmbH, info@kcomposites.com, +43 (0) 7582 60608, +43 (0) 7582 60608 199, http://www.kcomposites.com
Labor für Faserverbundwerkstoffe, NaN, +49(241)60092681, +49(241)60092680, NaN
LAMILUX Composites GmbH, information@lamilux.de, 09283 595 0, 09283 595 290, http://www.lamilux.de
Lange + Ritter GmbH, NaN, +49(7156)20060, +49(7156)20066, http://www.lange-ritter.de
Lantor BV, wsteijn@lantor.com, +31(318)537111, +31(318)537288, http://www.lantor.com
Laser Zentrum Hannover e.V., NaN, +49 (0) 511 / 2788-432, Nan, http://www.lzh.de
Lehmann & Voss & Co. KG, Rainer.Feddern@lehvoss.de, +49(40)44197475, +49(40)44197478, http://www.lehvoss.de
Lehrstuhl für Fertigungsmesstechnik , NaN, NaN, NaN, NaN
Lehrstuhl für Kunststofftechnik, NaN, +49(9131)8529701, +49(9131)8529709, http://www.lkt.uni-erlangen.de
Leibniz-Institut für Polymerforschung Dresden e.V., NaN, +49(351)4658590, +49(351)4658284, http://www.ipfdd.de
LEIDENFROST-POOL GmbH, office@leidenfrost.at, +43 (0) 2984 2689, +43 (0) 2984 3230, http://www.leidenfrost.at
Lindauer DORNIER GmbH, sales.wm@lindauerdornier.com, +49 8382 703-0, +49 8382 703-386, http://www.lindauerdornier.com
Lorenz Kunststofftechnik GmbH, NaN, +49(5407)83220, +49(5407)832247, http://www.lomix.de
Mahr Unipre GmbH, NaN, +49 (0) 2922 875700, Nan, http://www.mahr.de
Manna Green Momentum, NaN, +972-544508251, +97246457724, http://www.manna-g.com
MARUHACHI COMPOSITES CORP., toshi@maruhati.co.jp, +819089692401, Nan, http://maruhachi.eu
Menzolit GmbH, info@menzolit.com, +49(7251)32197365, +49(7251)32197399, http://menzolit.com
Mitsubishi Chemical Advanced Materials Composites AG, NaN, +41 62 885 81 50, Nan, http://www.mcam.com
Mitsui Chemicals Europe GmbH, NaN, +49 (0) 211 17332-0, +49 (0) 211 173382-0, http://eu.mitsuichem.com/
Morgan Electrical Carbon Deutschland GmbH, NaN, +49(2642)9040-0, Nan, http://morgancarbon.com
Mück Kunststofftechnik GmbH, NaN, +43(2169)7002, +43(2169)700273, NaN
Neue Materialien Bayreuth GmbH, info@nmbgmbh.de, 0921 507 36 0, 0921 507 36 199, http://nmbgmbh.de
Neue Materialien Fürth GmbH, NaN, +49(911)76672 - 10, +49(911)76672 - 15, http://www.nmfgmbh.de
Nippon Electric Glass, c.denbesten@negeurope.com, +31 598 313 244, Nan, http://www.neg.co.jp
Nouryon Polymer Chemistry, NaN, +31 (0)6 1587 4997, Nan, https://polymerchemistry.nouryon.com/
Nova-Institut GmbH, contact@nova-institut.de, +49 (0) 2233-4814-40, +49 (0) 2233-4814-50, http://www.bio-based.eu
NOVACOM, info@novacomposites.de, +49 (0) 24 08 / 93 89 930, +49 (0) 24 08 / 93 89 939, http://novacomposites.de
Odenwaldpool GmbH, NaN, +49(6062)4517, +49(6062)4198, http://www.odenwald-pool.de
ofi, office@ofi.at, +43 ()1 7981601 190, +43()1 7981601 977, http://www.ofi.at
Opel Automobile GmbH, NaN, 06142/777260, 06142/769578, NaN
P-D Glasseiden GmbH Oschatz, info@glasseide-oschatz.de, +49(3435)657302, +49(3435)657229, http://www.glasseide-oschatz.de
PERGAN Hilfsstoffe, NaN, +49(2871)990210, +49(2871)990250, http://www.pergan.de
Persico , Info.industrial@persico.com, +39 035 4531 971, +39 035 4531 812, http://www.persico.com
Plasticon Germany GmbH, info@plasticon.de, +49(0)2064/499-0, Nan, http://www.plasticoncomposites.com
Pole de Plasturgie de l'est, NaN, +33()387929394, +33()387929292, http://www.ppe.asso.fr
Polyestertechnik Lars Rafalzik GmbH,  info@polyestertechnik-rafalzik.de, +49(0)641/92231-0, +49(0)641/23919, http://www.polyestertechnik-rafalzik.de
Polymer-Consulting Dr. Peters, dr.peters@polymer-consulting.de, +491783039210, Nan, http://www.polymer-consulting.de
Polynt Composites Germany GmbH, NaN, +49(6772)932100, +49(6772)932120, NaN
Polyvlies Franz Beyer GmbH , info@polyvlies.de, 05459/9310-0, 05459/9310-50, http://www.polyvlies.de
Profol Kunststoffe GmbH, info@profol.de, +49 (0) 8055 181-130, Nan, http://www.profol.de
ProTec Polymer Processing GmbH, info@sp-protec.com, +49(0)6251 77061-0, +49(0)6251 77061-500, http://www.sp-protec.com
Raschig GmbH, NaN, +49(621)5618628, +49(621)5618604, http://www.raschig.de
Reed Exhibitions Deutschland GmbH, info@composites-europe.com, +49 (0) 211 / 90 191 -330, +49 (0) 211 / 90 191 -122, http://www.composites-europe.com
Rengers Kunststoff-Verarbeitungs, NaN, +49(5937)7269, +49(5937)7499, NaN
RIKO, NaN, +49(551)496070, +49(551)4960149, http://www.riko.net
Robert Bosch GmbH, NaN, +49 (0) 711 811-12172, Nan, NaN
Roth Composite Machinery GmbH, info@roth-composite-machinery.com, +49(0)6464/9150-0, +49(0)6464/9150-50, http://www.roth-composite-machinery.com/de/
RÜHL PUROMER GmbH, NaN, +49(0)6172 733-0, Nan, http://www.ruehl-ag.com
Röchling Automotive AG & Co. KG, info@roechling-automotive.de, +49(6241)844249, +49(6241)8449249, http://www.roechling-automotive.de
Röchling Engineering Plastics SE & Co. KG, info@roechling-plastics.com, +49(5934)701-0, +49(5934)701-299, http://www.roechling.com
SABIC, NaN, +31 (0)46722 3166, Nan, http://www.sabic.com
SAERTEX GmbH & Co. KG, info@saertex.com, +49(0)2574 902-0, +49(0)2574 902-139, http://www.saertex.com
SBKS GmbH & Co. KG, NaN, +49(6851) 840102, +49(6851)840103, http://www.sbks.de
Schuler Pressen GmbH, NaN, +49(0)7254/988-0, +49(0)7254/988-339, http://www.schulergroup.com
Schweißtechnische Lehr- und Versuchsanstalt Nord gGmbH, info@slv-nord.de, 040 35905-400, 040 35905-430, http://www.slv-nord.de/
Schöck Bauteile GmbH, NaN, +49(0)7223 967-0, Nan, http://www.schoeck.de
Scott Bader UK Ltd., mfischer@scottbader.com, +49 (0) 961/40 18 44 74, +49 (0) 961/40 18 44 76, http://www.scottbader.com
Segelclub RHE e.V., sekretariat@sc-rhe.de, +49 (0) 40 / 81 76 11, +49 (0) 40 / 88 30 16 86, http://www.sc-rhe.de
Siemens AG, NaN, +49(941)7902670, +49(941)7902725, http://www.siemens.com/automation
SILTEX Flecht- und Isoliertechnologie, siltex@siltex.de, +49 8571 92297-0, +49 8571 92297-22, http://www.siltex.de
SIMONA AG, mail@simona.de, +49(0)6752 14721, Nan, http://www.simona.de
Solidian GmbH, NaN, +49(0)7431 1202670, Nan, http://www.solidian.de
SOLVAY, custinfo@solvay.com, +44 (0) 1773 766200, +44 (0) 1773 530245, http://solvay.com
Staatl. Materialprüfungsanstalt, NaN, +49(6151)162151, +49(6151)166118, NaN
Süddeutsches Kunststoff-Zentrum, il@skz.de, +49(931)4104131, +49(931)4104277, NaN
Sächsisches Textilforschungsinstitut e. V. (STFI), stfi@stfi.de, +49(0)371/5274-0, +49(0)371/5274-153, http://www.stfi.de
TDC-Technical Duroplastic, NaN, +49(0)395/4290618, +49(0)395/4290619, http://www.tdc.de
Technische Akademie Esslingen, NaN, +49(711)3400811, +49(711)3400894, NaN
Technische Universität Dresden, ilk@mailbox.tu-dresden.de, +49 (351) 463 37915, +49 (351) 463 38143, http://tu-dresden.de/mw/ilk
Tetra-Dur, td@tetradur.de, +49(40)769832-0, +49(40)769832-50, http://www.tetra-dur.de
TEUFELBERGER Composite Ges.m.b.H., mbc@teufelberger.com, +43 7242 413 228, +43 72 42 413 168, http://www.teufelberger.com
Textechno Herbert Stein GmbH & Co. KG, info@textechno.com, +49 2161 6599-0, +49 2161 6599-10, http://www.textechno.com
ThermHex Waben GmbH, office@ThermHex.de, +49(0)345 13162710, Nan, http://www.ThermHex.de
ThermoPlastic composites Research Center, info@tprc.nl, +31 88 8773877, +31 88 8773899, http://www.tprc.nl
Thüringisches Institut, NaN, +49(3672) 379100, +49(3672)379379, http://www.titk.de
thyssenkrupp AG, NaN, +49 (0) 351/32039-222, +49 (0) 351/32039-299, http://www.thyssenkrupp.com
Transfercenter für Kunststofftechnik GmbH, office@tckt.at, +43(0)7242/2088 1000, +43(0)7242/2088-1020, http://www.tckt.at
TU Chemnitz, NaN, +49(371) 53138081, +49(371)53123129, http://www.tu-chemnitz.de/mbr/KonstrAllgMBI
TÜV SÜD Industrie Service GmbH, kunststoffe@tuev-sued.de, +49 (0) 89 5190 3229, +49 (0) 89 5190 3100, http://www.tuev-sued.de
United Initiators GmbH & Co. KG, NaN, +49(89)74422-230, +49(89)744226230, http://www.united-initiators.com/
Universität Bayreuth, NaN, +49(921)557471, +49(921)557473, NaN
Universität Bremen FB4 FG9, tho@biba.uni-bremen.de, +49(421)2185529, +49(421)2185610, http://www.bik.uni-bremen.de
Universität Kassel, NaN, +49(561)8043670, +49(561)8043672, http://www.ifw-kassel.de
Universität Siegen, NaN, +49(0)271 740 4404, +49(0)271 740 2772, http://www.mb.uni-siegen.de/uts
VDI Verein Deutscher Ingenieure e.V., gme@vdi.de, +49(211)621351, +49(211)621497351, http://vdi.de/gme
VELOX GmbH, NaN, +49(0)40 369 688-0, Nan, http://www.velox.com
Vitrulan Technical Textiles GmbH, NaN, +49 (0) 36762/890500, Nan, http://www.vitrulan.com
Volume Graphics GmbH, sales@volumegraphics.com, 06221/7392060, 06221/7392088, http://www.volumegraphics.com
Von Roll Deutschland GmbH, NaN, +49 (0) 821 902-223, +49 (0) 821 902-227, http://www.vonroll.com
Wacker Polymer Systems, NaN, +49(8677)838289, +49(8677)8868289, http://www.wacker.com/composites
Weber Fibertech GmbH, info@weber-fibertech.com, +49 7544 963 - 6300, Nan, http://www.weber-fibertech.de
Wilhelm G. Clasen GmbH & Co KG, info@wgc.de, + 49 (0) 40 3232950, + 49 (0) 40 321916, http://www.wgc.de 
Winter Fahrzeugtechnik GmbH, info@winter-kuehlfahrzeuge.de, +49(0)6659-9646-0, +49(0)6659-9646-36, http://www.winter-kuehlfahrzeuge.de
Wolfangel GmbH, NaN, +49(7152)999200, +49(7152)58195, http://www.wolfangel.com
Yanfeng Europe Automotive Interior Systems Limited & Co. KG, NaN, +49(0)21310609-10, +49(0)21310609-11, http://www.yfai.com
Z+R Kunststoff Technik GmbH, NaN, +49(2225)94120, +49(2225)941271, NaN
ZHAW Fachgruppe FVK, fvk.bauwesen@zhaw.ch, NaN, NaN, http://www.archbau.zhaw.ch/fvk
